date dx dy dz
201125 0000 0.006 -0.016 0.003
201126 0000 0.006 -0.015 0.003
201127 0000 0.003 -0.016 0.003
201128 0000 0.004 -0.015 0.003
201129 0000 0.005 -0.016 0.003
201130 0000 0.003 -0.017 0.003
201201 0000 0.003 -0.016 0.004
201202 0000 0.002 -0.017 0.003
201203 0000 0.001 -0.018 0.003
201204 0000 0.004 -0.018 0.003
201205 0000 0.003 -0.017 0.003
201206 0000 0.001 -0.018 0.003
201207 0000 0.002 -0.019 0.003
201208 0000 0.001 -0.018 0.003
201209 0000 0.003 -0.019 0.003
201210 0000 0.003 -0.019 0.003
201211 0000 0.002 -0.019 0.003
201212 0000 0.002 -0.017 0.003
201213 0000 0.002 -0.017 0.003
201214 0000 0.002 -0.019 0.003
201215 0000 0.002 -0.019 0.003
201216 0000 0.001 -0.016 0.003
201217 0000 -0.001 -0.018 0.003
201218 0000 0.001 -0.016 0.003
201219 0000 0.001 -0.018 0.003
201220 0000 -0.001 -0.016 0.003
201221 0000 -0.003 -0.015 0.003
201222 0000 -0.003 -0.016 0.003
201223 0000 -0.003 -0.015 0.003
201224 0000 -0.002 -0.019 0.003
201225 0000 -0.132 0.302 0.003
201226 0000 -0.003 -0.016 0.003
201227 0000 -0.003 -0.015 0.003
201228 0000 -0.006 -0.014 0.003
201229 0000 -0.005 -0.016 0.004
201230 0000 -0.005 -0.016 0.003
201231 0000 -0.005 -0.015 0.003
210101 0000 -0.007 -0.013 0.003
210102 0000 -0.007 -0.015 0.003
210103 0000 -0.007 -0.015 0.003
210104 0000 -0.008 -0.015 0.003
210105 0000 -0.007 -0.015 0.003
210106 0000 -0.007 -0.015 0.003
210107 0000 -0.008 -0.015 0.003
210108 0000 -0.009 -0.015 0.003
210109 0000 -0.008 -0.014 0.003
210110 0000 -0.008 -0.014 0.003
210111 0000 -0.010 -0.013 0.003
210112 0000 -0.010 -0.014 0.003
210113 0000 -0.010 -0.015 0.003
210114 0000 -0.010 -0.015 0.003
210115 0000 -0.010 -0.015 0.003
210116 0000 -0.011 -0.015 0.003
210117 0000 -0.010 -0.015 0.003
210118 0000 -0.014 -0.014 0.003
210119 0000 -0.015 -0.014 0.004
210120 0000 -0.014 -0.014 0.003
210121 0000 -0.014 -0.015 0.004
210122 0000 -0.015 -0.015 0.004
210123 0000 -0.012 -0.016 0.004
210124 0000 -0.012 -0.016 0.003
210125 0000 -0.012 -0.016 0.004
210126 0000 -0.012 -0.016 0.003
210127 0000 -0.014 -0.015 0.004
210128 0000 -0.025 0.134 0.003
210129 0000 -0.025 0.133 0.003
210130 0000 -0.025 0.134 0.002
210131 0000 -0.025 0.133 0.003
210201 0000 -0.025 0.134 0.003
210202 0000 -0.026 0.135 0.002
210203 0000 -0.027 0.134 0.002
210204 0000 -0.026 0.134 0.002
210205 0000 -0.025 0.134 0.002
210206 0000 -0.027 0.134 0.002
210207 0000 -0.025 0.134 0.002
210208 0000 -0.025 0.134 0.002
210209 0000 -0.025 0.134 0.002
210210 0000 -0.027 0.135 0.002
210211 0000 -0.027 0.135 0.003
210212 0000 -0.028 0.135 0.003
210213 0000 -0.031 0.135 0.002
210214 0000 -0.032 0.133 0.002
210215 0000 -0.037 0.133 0.001
210216 0000 -0.040 0.132 -0.002
210217 0000 -0.039 0.132 -0.003
210218 0000 -0.038 0.131 -0.002
210219 0000 -0.037 0.131 0.002
210220 0000 -0.036 0.131 0.002
210221 0000 -0.036 0.130 0.002
210222 0000 -0.034 0.130 0.002
210223 0000 -0.035 0.131 0.002
210224 0000 -0.033 0.131 0.002
210225 0000 -0.034 0.130 0.002
210226 0000 -0.034 0.130 0.002
210227 0000 -0.033 0.131 0.002
210228 0000 -0.034 0.132 0.002
210301 0000 -0.034 0.132 0.002
210302 0000 -0.034 0.132 0.002
210303 0000 -0.034 0.132 0.002
210304 0000 -0.034 0.130 0.002
210305 0000 -0.033 0.131 0.002
210306 0000 -0.033 0.132 0.002
210307 0000 -0.033 0.133 0.002
210308 0000 -0.033 0.133 0.002
210309 0000 -0.033 0.133 0.002
210310 0000 -0.035 0.133 0.002
210311 0000 -0.033 0.133 0.002
210312 0000 -0.034 0.132 0.002
210313 0000 -0.035 0.132 0.002
210314 0000 -0.033 0.132 0.002
210315 0000 -0.033 0.132 0.002
210316 0000 -0.033 0.132 0.002
210317 0000 -0.065 -0.065 0.043
210318 0000 -0.066 -0.064 0.043
210319 0000 -0.066 -0.063 0.043
210320 0000 -0.067 -0.062 0.043
210321 0000 -0.069 -0.058 0.043
210322 0000 -0.071 -0.057 0.043
210323 0000 -0.072 -0.056 0.043
210324 0000 -0.072 -0.055 0.043
210325 0000 -0.071 -0.057 0.043
210326 0000 -0.070 -0.056 0.043
210327 0000 -0.062 -0.076 0.706
210328 0000 -0.062 -0.076 0.706
210329 0000 -0.062 -0.076 0.706
210330 0000 -0.060 -0.077 0.706
210331 0000 -0.057 -0.019 0.693
210401 0000 -0.058 -0.019 0.693
210402 0000 -0.057 -0.020 0.693
210403 0000 -0.057 -0.019 0.693
210404 0000 -0.057 -0.020 0.693
210405 0000 -0.058 -0.019 0.693
210406 0000 -0.058 -0.019 0.693
210407 0000 -0.058 -0.019 0.693
210408 0000 -0.057 -0.019 0.693
210409 0000 -0.059 -0.018 0.693
210410 0000 -0.058 -0.019 0.693
210411 0000 -0.057 -0.020 0.693
210412 0000 -0.056 -0.020 0.693
210413 0000 -0.057 -0.020 0.693
210414 0000 -0.057 -0.019 0.693
210415 0000 -0.058 -0.017 0.693
210416 0000 -0.058 -0.019 0.693
210417 0000 -0.057 -0.019 0.693
210418 0000 -0.057 -0.020 0.693
210419 0000 -0.057 -0.018 0.693
210420 0000 -0.057 -0.018 0.693
210421 0000 -0.055 -0.019 0.693
210422 0000 -0.055 -0.019 0.693
210423 0000 -0.055 -0.019 0.693
210424 0000 -0.055 -0.020 0.693
210425 0000 -0.054 -0.020 0.693
210426 0000 -0.054 -0.020 0.693
210427 0000 -0.055 -0.020 0.693
210428 0000 -0.054 -0.020 0.693
210429 0000 -0.053 -0.021 0.693
210430 0000 -0.052 -0.021 0.693
210501 0000 -0.052 -0.020 0.693
210502 0000 -0.048 -0.020 0.693
210503 0000 -0.048 -0.020 0.694
210504 0000 -0.048 -0.020 0.693
210505 0000 -0.048 -0.020 0.693
210506 0000 -0.047 -0.020 0.694
210507 0000 -0.047 -0.020 0.693
210508 0000 -0.047 -0.019 0.693
210509 0000 -0.048 -0.019 0.695
210510 0000 -0.047 -0.018 0.692
210511 0000 -0.047 -0.018 0.692
210512 0000 -0.045 -0.017 0.690
210513 0000 -0.045 -0.018 0.690
210514 0000 -0.046 -0.015 0.689
210515 0000 -0.046 -0.015 0.689
210516 0000 -0.046 -0.015 0.689
210517 0000 -0.046 -0.015 0.689
210518 0000 -0.046 -0.015 0.688
210519 0000 -0.045 -0.015 0.688
210520 0000 -0.044 -0.016 0.688
210521 0000 -0.044 -0.015 0.688
210522 0000 -0.044 -0.015 0.688
210523 0000 -0.043 -0.016 0.688
210524 0000 -0.043 -0.016 0.688
210525 0000 -0.043 -0.016 0.688
210526 0000 -0.044 -0.015 0.688
210527 0000 -0.043 -0.014 0.688
210528 0000 -0.043 -0.014 0.688
210529 0000 -0.027 -0.001 0.635
210530 0000 -0.027 -0.001 0.635
210531 0000 -0.027 -0.001 0.635
210601 0000 -0.026 -0.002 0.635
210602 0000 -0.026 -0.002 0.635
210603 0000 -0.026 -0.002 0.635
210604 0000 -0.026 -0.002 0.635
210605 0000 -0.026 -0.002 0.635
210606 0000 -0.026 -0.002 0.635
