date dx dy dz
191208 0000 0.001 -0.021 -0.013
191209 0000 0.001 -0.020 -0.013
191210 0000 -0.000 -0.021 -0.007
191211 0000 -0.000 -0.020 -0.007
191212 0000 0.000 -0.020 -0.010
191213 0000 0.001 -0.021 -0.011
191214 0000 0.000 -0.022 -0.011
191215 0000 -0.000 -0.022 -0.009
191216 0000 0.000 -0.022 -0.010
191217 0000 -0.001 -0.022 -0.006
191218 0000 -0.001 -0.021 -0.008
191219 0000 -0.001 -0.021 -0.006
191220 0000 -0.003 -0.022 -0.005
191221 0000 -0.002 -0.021 -0.010
191222 0000 -0.004 -0.021 -0.007
191223 0000 -0.002 -0.021 -0.010
191225 0000 -0.002 -0.021 -0.011
191226 0000 -0.000 -0.022 -0.009
191227 0000 -0.002 -0.021 -0.010
191228 0000 -0.000 -0.022 -0.009
191229 0000 -0.000 -0.022 -0.009
191231 0000 0.000 -0.023 -0.011
200101 0000 -0.000 -0.022 -0.011
200102 0000 -0.000 -0.022 -0.009
200103 0000 -0.001 -0.022 -0.007
200104 0000 -0.001 -0.022 -0.007
200105 0000 -0.001 -0.022 -0.007
200106 0000 -0.001 -0.022 -0.007
200107 0000 -0.001 -0.022 -0.008
200108 0000 -0.000 -0.022 -0.009
200109 0000 0.000 -0.022 -0.013
200110 0000 -0.001 -0.022 -0.008
200111 0000 -0.001 -0.021 -0.007
200112 0000 -0.002 -0.022 -0.006
200113 0000 -0.002 -0.022 -0.006
200114 0000 -0.001 -0.022 -0.008
200115 0000 -0.002 -0.022 -0.004
200116 0000 -0.000 -0.022 -0.008
200117 0000 -0.001 -0.023 -0.011
200118 0000 -0.001 -0.023 -0.009
200119 0000 0.000 -0.023 -0.010
200120 0000 -0.001 -0.023 -0.009
200121 0000 0.000 -0.023 -0.010
200122 0000 -0.000 -0.022 -0.010
200123 0000 0.000 -0.023 -0.010
200124 0000 0.000 -0.025 -0.010
200125 0000 0.000 -0.025 -0.010
200126 0000 0.000 -0.023 -0.010
200127 0000 0.000 -0.025 -0.010
200128 0000 -0.000 -0.025 -0.008
200129 0000 -0.003 -0.023 -0.004
200130 0000 -0.001 -0.023 -0.010
200131 0000 -0.001 -0.023 -0.010
200201 0000 -0.002 -0.023 -0.009
200202 0000 -0.001 -0.023 -0.010
200203 0000 -0.001 -0.023 -0.010
200204 0000 -0.001 -0.023 -0.008
200205 0000 -0.001 -0.023 -0.010
200206 0000 0.001 -0.024 -0.008
200207 0000 0.001 -0.022 -0.010
